Section,Topic,Location,Description,Key Commands / Notes
Overview,Project,/,"ENGRAM — an AI persona framework: a cognitive-architecture companion (PYRI) plus seeded character 'engrams' with drives, memory, world models, simulations, and autonomous outreach. Ships as a web app, an Expo mobile app, a desktop (Electron) app, and an Express API server in one pnpm monorepo.","Refer to the monorepo as the project; each app is an artifact."
Overview,Monorepo layout,/,"pnpm workspace: artifacts/* are runnable apps (engram web, engram-mobile, api-server, mockup-sandbox); lib/* are shared packages (db, engram-core, i18n, api-spec, api-client-react, api-zod, AI integration libs); scripts/ holds operational scripts (seeding, locale generation).","pnpm install at the root; never use npm/yarn."
Overview,Package manager,/package.json,"pnpm v10 with workspace protocol (workspace:*) for internal deps and a catalog for some shared versions.","pnpm --filter @workspace/<name> run <script>"
Overview,TypeScript,/tsconfig.json,"Composite project references. Every new lib needs its own composite tsconfig AND an entry in the root tsconfig.json references array.","pnpm run typecheck:libs (tsc --build); artifacts: pnpm --filter <pkg> exec tsc --noEmit"
Architecture,API server,artifacts/api-server,"Express server exposing all REST + SSE endpoints under /api. Routes in src/routes/*, domain logic in src/lib/*, background engine in src/services/engram-engine.ts.","Workflow: 'artifacts/api-server: API Server'"
Architecture,Web app,artifacts/engram,"React + Vite + wouter + TanStack Query + shadcn/tailwind. Pages in src/pages/*, shared shell in src/components/layout.tsx, routes registered in src/App.tsx.","Workflow: 'artifacts/engram: web'"
Architecture,Mobile app,artifacts/engram-mobile,"Expo (SDK 54) + expo-router. Tabs in app/(tabs)/*, settings in app/server-settings.tsx, offline LLM mode under lib/offline/* using llama.rn.","Workflow: 'artifacts/engram-mobile: expo'"
Architecture,Desktop app,(desktop packaging),"Electron wrapper with embedded pglite DB seam, bundled llama.cpp offline model, auto-update via electron-builder releases.","See memory docs: desktop-embedded-db, bundled-offline-llm, desktop-auto-update."
Architecture,Shared core,lib/engram-core,"Pure domain logic shared by server, mobile offline mode, and desktop: prompt builders (buildSystemPrompt for PYRI, buildEngramSystemPrompt for engrams), HARD_SAFETY constraints, expression handling.","No DB or i18n dependency by design — callers pass data in."
Architecture,Database layer,lib/db,"Drizzle ORM + PostgreSQL. Schema in src/schema.ts, seed data in src/seed/engram-data.ts. Table export names sometimes differ from table names — check schema exports before importing.","Schema changes must be BOTH pushed and generated (dual path)."
Architecture,API contract,lib/api-spec/openapi.yaml,"Single OpenAPI source of truth. Orval generates React Query hooks (lib/api-client-react) and Zod validators (lib/api-zod).","pnpm --filter @workspace/api-spec run codegen after ANY spec edit."
Architecture,i18n package,lib/i18n,"12 languages. English namespace JSONs in src/en/ are the only authored source; src/generated/<lang>.json are machine-translated (never hand-edit). Exports resources, LANGUAGES, responseLanguageInstruction().","Regenerate after English copy changes: pnpm --filter @workspace/scripts run generate:locales [langs]"
Architecture,LLM seam,artifacts/api-server/src/lib/llm.ts,"All model calls go through one OpenAI-compatible client. Resolution order: LLM_BASE_URL/LLM_API_KEY/LLM_MODEL (local runtimes) else AI_INTEGRATIONS_OPENAI_* (Replit cloud).","Lets the same code run cloud or fully local (llama.cpp, Ollama)."
Setup,First run,/,"1) pnpm install 2) ensure DB env vars present 3) seed reference data 4) start workflows (api-server, web, expo).","Seeding is manual — no auto-seed exists."
Setup,Seeding,scripts/,"Seed scripts: seed:engrams (personas from lib/db seed data), seed:expressions, seed:hub, seed:full-rezz (archival branch).","pnpm --filter @workspace/scripts run seed:engrams"
Setup,Environment,,"Key env: DATABASE_URL (Postgres), AI_INTEGRATIONS_OPENAI_API_KEY/_BASE_URL (cloud LLM), optional LLM_BASE_URL/LLM_API_KEY/LLM_MODEL overrides, SESSION_SECRET.","Never commit secrets; managed via Replit secrets."
Setup,Dev URLs,,"Path-based routing behind a proxy: web at /, mobile via Expo dev domain, API under /api. Frontends must use the artifact base path, never hardcoded localhost.","Debug with curl against $REPLIT_DEV_DOMAIN."
Domain,Engrams,lib/db/src/seed/engram-data.ts,"An engram = seeded persona: identity, origin, voiceProfile, drives (id/label/level), emotionalBaseline, guardrails, environment anchor. Adding one has non-obvious couplings (drive keywords enable outreach; guardrails complement HARD_SAFETY).","Seed appends by slug; dev DB assigns numeric ids."
Domain,PYRI,artifacts/api-server/src/routes/openai.ts,"The system-wide companion with modes (companion/informational/alert/tutorial/analyst/silent/custom), personas, beliefs, expressions, and perceptual context.","Chat streams over SSE."
Domain,Drives & engine,artifacts/api-server/src/services/engram-engine.ts,"Engram autonomy engine: ticks raise drive levels; initiation is drive-based (threshold), transmissions have cooldowns. Every autonomy guard must be DB-backed, not in-memory (restart safety).","Never add in-memory-only rate limits."
Domain,World model,,"Engram knowledge entries carry provenance (OBSERVED vs SIMULATED etc.). Simulation output is structurally quarantined and can never become OBSERVED reality. Media perception writes OBSERVED entries with hardcoded provenance and idempotent retries.","See simulation-quarantine and media-perception memory docs."
Domain,Simulations,,"Directed simulations step via CAS-claimed rows (never bypass the claim); engrams give in-voice exit summaries.","Multiple engrams per simulation is a proposed task."
Domain,Inquiry system,artifacts/api-server/src/routes/engrams.ts,"Two kinds: probe (pure in-character Q&A, append-only) and develop (bounded persona tuning via sanitized JSON delta). Develop deltas are clamped by sanitizeDelta and pass safety checks.","POST /api/engrams/:id/inquiries"
Domain,Archival engrams (Full Rezz),artifacts/api-server/src/lib/archival.ts,"isArchival = read-only forever. Every engram-keyed write route needs the archival guard. Exception: probe inquiries are allowed (interactive but immutable); develop returns 403.","Seed atomically via seedAll."
Domain,Expression safety,,"PYRI's QUERTY micro-expression vocabulary is filtered before reaching the chat prompt; intimate expression data must never reach PYRI's prompt.","See expression-layer-safety memory doc."
Domain,Safety backstop,lib/engram-core/src/prompts.ts,"HARD_SAFETY block is appended to every persona/PYRI prompt and cannot be tuned away: construct containment, no explicit content, no real-world harm or hacking instructions.","Guardrails/personas/develop can never override it."
API,Contract workflow,lib/api-spec/openapi.yaml,"Edit spec -> run codegen -> generated hooks/Zod update everywhere. Avoid an operation with BOTH a path param and query params (breaks Orval here).","pnpm --filter @workspace/api-spec run codegen"
API,Chat endpoint,POST /api/openai/conversations/:id/messages,"SSE streaming. Body: { content, language? }. Web/mobile use raw fetch for SSE (generated hooks don't stream).","language is BCP-47, allowlisted server-side."
API,Inquiry endpoint,POST /api/engrams/:id/inquiries,"Body: { kind: probe|develop, question, language? }. Probe allowed on archival engrams; develop 403.",
API,Engram endpoints,artifacts/api-server/src/routes/engrams.ts,"CRUD-ish routes for engrams, world model, transmissions, simulations, tuning. All writes must check the archival guard.",
API,Media endpoints,,"Upload -> extraction -> OBSERVED world-model entries + in-voice commentary. Processing should be treated as all-or-nothing (proposed hardening task).",
i18n,UI translation,artifacts/engram/src/i18n.ts,"i18next + react-i18next; localStorage keys engram.uiLang / engram.replyLang; document.dir flips to rtl for Arabic; one namespace per page.","Settings page at /settings."
i18n,Mobile translation,artifacts/engram-mobile/lib/i18n.ts,"AsyncStorage persistence behind a single i18nReady hydration promise; resolveReplyLanguage() is async — await it at send time. Known limitation: no RTL layout on mobile (text translates, layout stays LTR).",
i18n,Reply language,,"Optional 'language' on chat + inquiry POSTs. Server maps it through responseLanguageInstruction() (allowlist) and passes the instruction into prompt builders — chat (PYRI + engram), probe, and develop all honor it.","Omitted/unknown code = automatic (match the user)."
